,train_size,train_set_type,loss,accuracy
4,60,diverse,1.4416265064239502,0.5193
5,60,diverse,1.824904130935669,0.4669
6,60,diverse,1.5773362560272217,0.4659
7,60,diverse,2.020428863143921,0.4571
8,60,diverse,1.429553348350525,0.5311
9,60,diverse,1.5307361127853394,0.5266
10,60,similar,1.8530608562469482,0.4338
11,60,similar,1.5593778928756714,0.4887
12,60,similar,1.4531253425598145,0.4898
13,60,similar,1.6074320184707642,0.5129
14,60,similar,1.481588062095642,0.5222
15,60,similar,1.7180292568206788,0.4152
16,60,similar,1.504798346710205,0.5167
17,60,similar,1.4917253509521484,0.4938
18,60,similar,1.741740214920044,0.4762
19,60,similar,1.543437696838379,0.5001
20,60,random,1.6857023542404175,0.5332
21,60,random,1.6086841480255127,0.4945
22,60,random,1.8391291564941405,0.3758
23,60,random,1.5499400184631347,0.5181
24,60,random,1.730365828704834,0.4161
25,60,random,1.4352047924041749,0.5038
26,60,random,1.5413898954391478,0.5275
27,60,random,1.4592429143905639,0.4937
28,60,random,1.5667844327926637,0.4927
29,60,random,1.6204403427124023,0.4511
0,70,diverse,1.6105139070510863,0.4865
1,70,diverse,1.7215798797607422,0.4034
2,70,diverse,1.2866425342559815,0.5416
3,70,diverse,1.4211647346496583,0.5321
4,70,diverse,1.5755006145477295,0.5506
5,70,diverse,1.480455525779724,0.5616
6,70,diverse,1.4051344932556151,0.5332
7,70,diverse,1.4181501209259033,0.5335
8,70,diverse,1.431349866294861,0.518
9,70,diverse,1.4725489280700683,0.4994
10,70,similar,1.6109024150848388,0.4818
11,70,similar,1.6066301345825196,0.4709
12,70,similar,1.8491863206863404,0.5645
13,70,similar,1.448423823928833,0.5183
14,70,similar,1.4584809230804443,0.5592
15,70,similar,1.4587801029205323,0.5512
16,70,similar,1.6716074655532838,0.4519
17,70,similar,1.4753276257514953,0.5397
18,70,similar,1.6601264236450195,0.5737
19,70,similar,1.6119245250701904,0.4819
20,70,random,1.633254239654541,0.5581
21,70,random,1.5635285459518433,0.5314
22,70,random,1.6448422273635863,0.5408
23,70,random,1.5167968267440797,0.4626
24,70,random,1.543269958114624,0.5374
25,70,random,1.9555593507766724,0.5154
26,70,random,1.765058611869812,0.4783
27,70,random,1.363545001411438,0.5383
28,70,random,1.563634390449524,0.5061
29,70,random,1.4690553771972656,0.5465
0,80,diverse,1.3683605424880982,0.5649
1,80,diverse,1.794561538887024,0.5061
2,80,diverse,1.6080378437042235,0.5255
3,80,diverse,1.3851308027267457,0.5327
4,80,diverse,1.5853965145111084,0.4629
5,80,diverse,1.4063797943115235,0.5112
6,80,diverse,1.6046676128387451,0.4838
7,80,diverse,1.3950479019165039,0.5298
8,80,diverse,1.607951480293274,0.5125
9,80,diverse,1.5513307819366455,0.4652
10,80,similar,1.5094677261352538,0.5239
11,80,similar,1.292135656261444,0.5956
12,80,similar,1.647587296104431,0.5945
13,80,similar,1.337089854812622,0.5457
14,80,similar,1.827420371246338,0.4399
15,80,similar,1.7072296518325805,0.4781
16,80,similar,1.336715771484375,0.5354
17,80,similar,1.3618524843215942,0.5418
18,80,similar,1.5568538696289063,0.4994
19,80,similar,1.4573646739959716,0.4933
20,80,random,1.3527188110351562,0.5124
21,80,random,1.7318625909805299,0.5577
22,80,random,1.4685571050643922,0.5565
23,80,random,1.4826651519775391,0.5411
24,80,random,1.415606169128418,0.5455
25,80,random,1.399020478630066,0.5813
26,80,random,1.5328316228866576,0.5273
27,80,random,1.3792964670181274,0.5499
28,80,random,1.4241518533706665,0.4792
29,80,random,1.45292848072052,0.5238
0,90,diverse,1.503807340812683,0.5178
1,90,diverse,1.2158194791793824,0.6118
2,90,diverse,1.7794848249435424,0.4718
3,90,diverse,1.5366386529922484,0.5599
4,90,diverse,1.4568027433395385,0.5665
5,90,diverse,1.4108472333908082,0.52
6,90,diverse,1.8494863328933715,0.5005
7,90,diverse,1.3595174695968628,0.5514
8,90,diverse,1.428322444343567,0.5224
9,90,diverse,1.2911122465133666,0.5999
10,90,similar,1.6818649866104125,0.4685
11,90,similar,1.2684954633712768,0.587
12,90,similar,1.6127855087280274,0.4996
13,90,similar,1.6798860931396484,0.4756
14,90,similar,1.652388982963562,0.4452
15,90,similar,1.4463080423355104,0.5439
16,90,similar,1.6650171072006226,0.4715
17,90,similar,1.3014768795013427,0.5939
18,90,similar,1.5890672716140748,0.5463
19,90,similar,1.386843758201599,0.5391
