,train_size,train_set_type,loss,accuracy
3,60,diverse,1.5938854496002197,0.4273
4,60,diverse,1.5327488124847413,0.496
5,60,diverse,1.6771561641693116,0.4238
6,60,diverse,1.9277959007263183,0.3065
7,60,diverse,1.5794748065948487,0.4286
8,60,diverse,1.500431112098694,0.4744
9,60,diverse,1.7109270471572875,0.4627
10,60,similar,2.8575509422302248,0.41
11,60,similar,2.6009956924438478,0.3918
12,60,similar,2.921858459854126,0.3517
13,60,similar,3.3385350101470945,0.2958
14,60,similar,2.785457760620117,0.3799
15,60,similar,2.38725788230896,0.2959
16,60,similar,3.4151034019470217,0.349
17,60,similar,2.9008849094390867,0.3603
18,60,similar,2.6720483539581297,0.3332
19,60,similar,2.567128698730469,0.3971
20,60,random,1.4590339071273803,0.4864
21,60,random,1.3041157064437867,0.5501
22,60,random,1.4491162149429322,0.5369
23,60,random,1.4013078325271606,0.5422
24,60,random,1.2832529495239258,0.55
25,60,random,1.3345030429840088,0.5513
26,60,random,1.3596857219696046,0.523
27,60,random,1.4403857635498047,0.4877
28,60,random,1.4903258260726928,0.4913
29,60,random,1.4064231454849243,0.5003
0,40,diverse,1.582247060394287,0.4362
1,40,diverse,1.6378380184173584,0.4315
2,40,diverse,1.6423347270965576,0.4346
3,40,diverse,1.4848048736572266,0.4775
4,40,diverse,1.473310736656189,0.4824
5,40,diverse,1.7061651252746581,0.3879
6,40,diverse,1.8494894680023193,0.3364
7,40,diverse,1.7776445846557618,0.4289
8,40,diverse,1.664290953063965,0.4404
9,40,diverse,1.6766289470672608,0.4072
10,40,similar,3.1992284088134766,0.2538
11,40,similar,2.716039192199707,0.3415
12,40,similar,2.943270243835449,0.3072
13,40,similar,2.9493302215576174,0.328
14,40,similar,3.894323636627197,0.3306
15,40,similar,2.9022007778167724,0.3543
16,40,similar,2.2253173763275145,0.2535
17,40,similar,2.6780707941055297,0.3769
18,40,similar,2.3767306720733643,0.3153
19,40,similar,2.0755911128997804,0.2611
