,train_size,train_set_type,accuracy,loss
0,100,random,0.5938,1.3322589031219483
1,100,random,0.5523,1.4348061723709107
2,100,random,0.4377,1.9768319673538208
3,100,random,0.5423,1.6229799083709717
4,100,random,0.6028,1.633096202659607
5,100,random,0.5804,1.528696199798584
6,100,random,0.576,1.8219869045257568
7,100,random,0.5536,1.631855429458618
8,100,random,0.5643,1.3882953132629394
9,100,random,0.5432,1.4418241123199462
10,80,random,0.5716,1.6105853174209595
11,80,random,0.4842,1.596404275894165
12,80,random,0.5847,1.7045325691223145
13,80,random,0.5811,1.9119645299911499
14,80,random,0.5713,1.7874458610534667
15,80,random,0.5785,1.573916724395752
16,80,random,0.5621,1.4121698863983154
17,80,random,0.5874,1.6005044282913208
18,80,random,0.5883,1.969956789970398
19,80,random,0.569,1.5533143283843993
20,60,random,0.5288,1.7061298206329345
21,60,random,0.5453,1.5665063995361328
22,60,random,0.4715,1.8006866319656372
23,60,random,0.548,1.7829347585678101
24,60,random,0.5006,2.0996203887939453
25,60,random,0.4888,2.1588954454422
26,60,random,0.529,1.6951001369476317
27,60,random,0.5455,1.4645664987564087
28,60,random,0.5212,1.6406515699386597
29,60,random,0.5227,1.6477219121932984
30,40,random,0.5069,1.8967365615844727
31,40,random,0.4634,2.54138169593811
32,40,random,0.4518,2.1596922620773316
33,40,random,0.5135,1.5419730016708375
34,40,random,0.4537,1.8948532157897948
35,40,random,0.4363,1.719313088607788
36,40,random,0.4485,2.381103201675415
37,40,random,0.5037,2.005032090377808
38,40,random,0.3432,2.3223169841766356
39,40,random,0.4765,1.8223811962127685
40,20,random,0.2977,2.3208032501220703
41,20,random,0.3569,2.012548271369934
42,20,random,0.4273,1.9897745666503905
43,20,random,0.2576,2.3837308193206788
44,20,random,0.4002,2.2064027515411375
45,20,random,0.3674,1.964351420211792
46,20,random,0.2705,2.1260175136566164
47,20,random,0.3093,2.0635071659088133
48,20,random,0.3372,2.270542308044434
49,20,random,0.3052,2.160459655380249
50,10,random,0.2807,2.178373720550537
51,10,random,0.2157,2.697701239013672
52,10,random,0.3132,2.2016597415924073
