,fov,train_set_type,loss,accuracy
0,30,diverse,4.796968477701813,0.07768829943358983
1,30,diverse,4.666531701722681,0.10350544766572797
2,30,diverse,4.9029411337828535,0.08100426343169499
3,30,diverse,4.669627429635985,0.08976788255542673
4,30,diverse,4.74296991083081,0.08668877311449714
5,30,diverse,4.550439334830533,0.08953102797001586
6,30,diverse,5.214238834629574,0.07437233542136704
7,30,diverse,4.836184858541701,0.0689246802675052
8,30,similar,5.0608816789485225,0.0755566082495979
9,30,similar,4.835916270468823,0.04026527711984841
10,30,similar,4.675360256436311,0.08171482712086882
11,30,similar,5.092421285239852,0.09971577456385984
12,30,similar,5.180857449219386,0.0703458077587939
13,30,similar,4.997968397452221,0.08526764569026721
14,30,similar,5.006223028613063,0.09237328288906392
15,30,similar,5.281480790652804,0.06655613458280821
16,40,diverse,5.404345625105315,0.13855992424183128
17,40,diverse,4.147456612986787,0.1686404547678357
18,40,diverse,4.4910873501631725,0.12103268598025017
19,40,diverse,4.287100588411361,0.12434864993953185
20,40,diverse,4.349099152012495,0.12482235910682417
21,40,diverse,4.8838770385039245,0.14021790629029557
22,40,diverse,4.513527336870534,0.15135007107754783
23,40,diverse,5.172752878102348,0.1369019422145434
24,40,similar,5.317737590865692,0.14258645196793374
25,40,similar,4.351128037876001,0.15513974420765123
26,40,similar,5.383286682930336,0.15490288963282858
27,40,similar,4.849504092359701,0.09924206545656747
28,40,similar,4.436936544389422,0.1167693037322662
29,40,similar,4.78308642977846,0.15750828991705407
30,40,similar,4.7728661152493155,0.17361440076499343
31,40,similar,4.8481591460491344,0.14211274282534728
32,50,diverse,3.8697013047451887,0.22643297016338285
33,50,diverse,3.761438796894068,0.18806252970564483
34,50,diverse,3.971773369173369,0.19564187589526347
35,50,diverse,4.4734781433315085,0.20724774998039613
36,50,diverse,4.262934942484918,0.1752723827922813
37,50,diverse,3.9344885523202917,0.18616769313529904
38,50,diverse,4.350102405308661,0.16271909052785793
39,50,diverse,3.7700714573708827,0.20630033161757627
40,50,similar,4.034429054472583,0.17503552827039978
41,50,similar,3.9771901353847805,0.1904310753762242
42,50,similar,4.091445834983417,0.18640454761482764
43,50,similar,4.2695680253034745,0.16556134537631784
44,50,similar,3.8793874004902515,0.1963524396373784
45,50,similar,4.000641532895239,0.2079583136378053
46,50,similar,3.9514794773199386,0.1811937470499061
47,50,similar,3.8434184153234714,0.17266698247982054
48,60,diverse,3.7768647171546363,0.2351965893012322
49,60,diverse,4.007981227958784,0.24467077220237293
50,60,diverse,3.9140109539257866,0.25675035528891577
51,60,diverse,3.821192403022625,0.21624822360130352
52,60,diverse,3.397780639308711,0.26740881108887554
53,60,diverse,4.11968609214902,0.21316911424860915
54,60,diverse,3.707276380553397,0.20558976791781422
55,60,diverse,3.8341636117856575,0.23472288017276338
56,60,similar,3.5579167715693356,0.20937944106556464
57,60,similar,3.734005850449042,0.20511605876111014
58,60,similar,3.9566521305769102,0.22051160588105218
59,60,similar,4.242373919611235,0.21222169596343626
60,60,similar,3.944497333776889,0.23282804365182927
61,60,similar,3.5593171179548704,0.2290383705252553
62,60,similar,3.35741644242204,0.2408810990475637
63,60,similar,4.150199177252744,0.19185220276868947
64,70,diverse,3.6114540339532706,0.22477498820668315
65,70,diverse,3.9974134520635056,0.24632875417319025
66,70,diverse,3.9237751547390114,0.26882993848839964
67,70,diverse,3.6974757849351314,0.22240644248669209
68,70,diverse,3.79598192601676,0.2169587873116538
69,70,diverse,3.994627238562298,0.21932733306693894
70,70,diverse,3.6742630432929433,0.24159166274026692
71,70,diverse,3.6504034179468845,0.2645665562192392
72,70,similar,4.002651951201207,0.23306489819488724
73,70,similar,3.698472943028134,0.1946944576242082
74,70,similar,3.5896391751132604,0.23211747990971435
75,70,similar,3.5536785392273327,0.2342491710195887
76,70,similar,3.915453093586122,0.2224064425008097
77,70,similar,3.398740133365033,0.2333017527802981
78,70,similar,3.999295679667955,0.24040738991203606
79,70,similar,3.367529446680023,0.24277593551908608
